State,Agency Type,Agency name,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
Identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
Alabama,Total,,8,0,2,0,0,0,,,,,
Alabama,Cities,,8,0,2,0,0,0,,,,,
Alabama,Cities,Birmingham,3,0,2,0,0,0,1,1,1,2,"212,291"
Alabama,Cities,Hoover,4,0,0,0,0,0,0,3,1,0,"85,163"
Alabama,Cities,Prattville,1,0,0,0,0,0,0,1,,0,"35,637"
Alaska,Total,,7,0,1,0,0,0,,,,,
Alaska,Cities,,7,0,1,0,0,0,,,,,
Alaska,Cities,Anchorage,4,0,1,0,0,0,1,1,2,1,"301,239"
Alaska,Cities,Kotzebue,1,0,0,0,0,0,0,1,0,0,"3,304"
Alaska,Cities,North Pole,1,0,0,0,0,0,0,1,0,0,"2,190"
Alaska,Cities,Soldotna,1,0,0,0,0,0,0,0,0,1,"4,512"
Arizona,Total,,162,52,57,5,0,0,,,,,
Arizona,Cities,,157,49,57,5,0,0,,,,,
Arizona,Cities,Apache Junction,2,0,0,0,0,0,1,1,0,0,"38,519"
Arizona,Cities,Avondale,1,1,0,0,0,0,0,0,0,2,"80,533"
Arizona,Cities,Chandler,1,0,0,0,0,0,0,0,1,0,"258,875"
Arizona,Cities,El Mirage,0,1,0,0,0,0,0,1,0,0,"33,985"
Arizona,Cities,Gilbert,3,1,0,0,0,0,2,1,1,0,"247,324"
Arizona,Cities,Glendale,5,2,1,0,0,0,2,2,2,2,"240,374"
Arizona,Cities,Holbrook,0,0,1,0,0,0,0,1,0,0,"5,007"
Arizona,Cities,Mesa,2,2,0,0,0,0,1,0,1,2,"471,034"
Arizona,Cities,Nogales,0,1,0,0,0,0,0,0,0,1,"20,312"
Arizona,Cities,Phoenix,137,40,49,5,0,0,76,77,44,34,"1,559,744"
Arizona,Cities,Prescott,1,0,0,0,0,0,1,,0,0,"41,393"
Arizona,Cities,Scottsdale,1,1,1,0,0,0,2,0,1,0,"233,872"
Arizona,Cities,Tucson,1,0,3,0,0,0,2,0,1,1,"529,675"
Arizona,Cities,Williams,0,0,1,0,0,0,0,1,,,"3,110"
Arizona,Cities,Yuma,3,0,1,0,0,0,0,2,1,1,"93,923"
Arizona,Universities and Colleges,,2,0,0,0,0,0,,,,,
Arizona,Universities and Colleges,"Arizona State University, Main Campus",2,0,0,0,0,0,1,1,0,0,"83,260"
Arizona,Metropolitan Counties,,3,2,0,0,0,0,,,,,
Arizona,Metropolitan Counties,Maricopa,1,0,0,0,0,0,1,0,0,0,
Arizona,Metropolitan Counties,Pima,1,1,0,0,0,0,0,2,0,0,
Arizona,Metropolitan Counties,Pinal,1,0,0,0,0,0,,1,,,
Arizona,Metropolitan Counties,Yavapai,0,1,0,0,0,0,1,0,0,0,
Arizona,Nonmetropolitan Counties,,0,1,0,0,0,0,,,,,
Arizona,Nonmetropolitan Counties,Graham,0,1,0,0,0,0,1,0,0,0,
Arkansas,Total,,3,0,2,0,0,0,,,,,
Arkansas,Cities,,1,0,2,0,0,0,,,,,
Arkansas,Cities,Bryant,1,0,0,0,0,0,1,0,0,0,"20,404"
Arkansas,Cities,Fort Smith,0,0,2,0,0,0,1,0,0,1,"87,603"
Arkansas,Metropolitan Counties,,1,0,0,0,0,0,,,,,
Arkansas,Metropolitan Counties,Sebastian,1,0,0,0,0,0,0,1,0,0,
Arkansas,Nonmetropolitan Counties,,1,0,0,0,0,0,,,,,
Arkansas,Nonmetropolitan Counties,Boone,1,0,0,0,0,0,1,0,0,0,
California,Total,,427,191,188,4,1,26,,,,,
California,Cities,,349,158,155,1,0,24,,,,,
California,Cities,Alameda,1,1,0,0,0,0,1,0,1,0,"78,613"
California,Cities,Alhambra,0,1,0,0,0,0,0,0,1,0,"86,175"
California,Cities,Antioch,5,2,1,0,0,0,2,1,2,3,"110,537"
